Date,Value
2024-11-29,66.14286
2024-12-02,66.57143
2024-12-03,62.4
2024-12-04,57.14286
2024-12-05,55.77143
2024-12-06,53.0
2024-12-09,53.0
2024-12-10,48.48571
2024-12-11,51.71429
2024-12-12,48.74286
2024-12-13,50.0
2024-12-16,56.65714
2024-12-17,51.82857
2024-12-18,33.84615
2024-12-19,22.50043
2024-12-20,28.08571
2024-12-23,30.08571
2024-12-24,33.97143
2024-12-26,35.08571
2024-12-27,34.25714
2024-12-30,27.91429
2024-12-31,27.8
2025-01-02,26.14286
2025-01-03,31.65714
2025-01-06,36.74286
2025-01-07,35.71429
2025-01-08,32.37143
2025-01-10,26.88571
2025-01-13,26.65714
2025-01-14,26.71429
2025-01-15,29.14286
2025-01-16,28.4
2025-01-17,37.68571
2025-01-21,40.82857
2025-01-22,43.31429
2025-01-23,46.97143
2025-01-24,48.65714
2025-01-27,39.11429
2025-01-28,44.34286
2025-01-29,45.6
2025-01-30,48.05714
2025-01-31,45.8
2025-02-03,44.11429
2025-02-04,38.97143
2025-02-05,39.6
2025-02-06,41.11429
2025-02-07,39.28571
2025-02-10,46.2
2025-02-11,46.45714
2025-02-12,44.02857
2025-02-13,46.71429
2025-02-14,44.48571
2025-02-18,48.88571
2025-02-19,48.34286
2025-02-20,45.14286
2025-02-21,35.42857
2025-02-24,29.25714
2025-02-25,22.91429
2025-02-26,21.74286
2025-02-27,18.41962
2025-02-28,19.71429
2025-03-03,24.48571
2025-03-04,19.78758
2025-03-05,21.8898
2025-03-06,17.29175
2025-03-07,20.49014
2025-03-10,14.59115
2025-03-11,16.2668
2025-03-12,20.45875
2025-03-13,14.84386
2025-03-14,20.97143
2025-03-17,22.14286
2025-03-18,19.82857
2025-03-19,22.37143
2025-03-20,22.22857
2025-03-21,22.57143
2025-03-24,27.88571
2025-03-25,28.85714
2025-03-26,28.62857
2025-03-27,27.88571
2025-03-28,21.85714
2025-03-31,21.34286
2025-04-01,19.34286
2025-04-02,17.08571
2025-04-03,7.72653
2025-04-04,4.24346
2025-04-07,4.42698
2025-04-08,3.80783
2025-04-09,16.59923
2025-04-10,8.49524
2025-04-11,12.64737
2025-04-14,19.47866
2025-04-15,18.55971
2025-04-16,14.44304
2025-04-17,20.91429
2025-04-21,21.78571
2025-04-22,24.38765
2025-04-23,27.4
2025-04-24,31.05714
2025-04-25,35.34286
2025-04-28,36.51429
2025-04-29,37.91429
2025-04-30,35.05714
2025-05-01,47.02857
2025-05-02,42.62857
2025-05-05,56.6
2025-05-06,57.02857
2025-05-07,56.0
2025-05-08,61.71429
2025-05-09,61.6
2025-05-12,66.14286
2025-05-13,68.77143
2025-05-14,70.42857
2025-05-15,69.02857
2025-05-16,70.6
2025-05-19,69.71429
2025-05-20,69.31429
2025-05-21,66.28571
2025-05-22,66.28571
2025-05-23,63.65714
2025-05-27,65.17143
2025-05-28,64.74286
2025-05-29,64.11429
2025-05-30,61.54286
2025-06-02,62.65714
2025-06-03,55.77143
2025-06-04,54.31429
2025-06-05,58.37143
2025-06-06,63.28571
2025-06-09,62.2
2025-06-10,63.77143
2025-06-11,62.17143
2025-06-12,61.4
2025-06-13,59.88571
2025-06-16,62.11429
2025-06-17,53.91429
2025-06-18,53.77143
2025-06-20,55.37143
2025-06-23,56.54286
2025-06-24,56.34286
2025-06-25,58.97143
2025-06-26,61.74286
2025-06-27,64.6
2025-06-30,67.05714
2025-07-01,65.22857
2025-07-02,63.2
2025-07-03,77.77143
2025-07-07,75.31429
2025-07-08,74.28571
2025-07-09,74.88571
2025-07-10,75.48571
2025-07-11,75.28571
2025-07-14,76.42857
2025-07-15,73.91429
2025-07-16,74.11429
2025-07-17,75.31429
2025-07-18,75.0
2025-07-21,73.6
2025-07-22,73.02857
2025-07-23,76.31429
2025-07-24,75.17143
2025-07-25,73.94286
2025-07-28,73.6
2025-07-29,69.25714
2025-07-30,66.77143
2025-07-31,62.65714
2025-08-01,50.04878
2025-08-04,56.65714
2025-08-05,54.57143
