,vol20d,hyig_diff_bps,FGI,ig_level_pct,dxy_ma_gap20,vix_ma_gap20,hy_vol_20d_bps,fgi_hyig_inter,yc_slope_sq,vix_yc_inter,dxy_vix_inter
2023-08-02,0.4211749296423152,0.08593031231511006,-0.23317164569084842,0.12994187180591457,0.20514070970081963,0.2159118209500273,0.008935138386209875,0.21089374574574815,-0.2805526558165664,0.05146886485210565,0.18286409325359457
2023-08-03,0.41064861637604405,0.08335977943210329,-0.22264530443506833,0.11793908867491847,0.20966947238514558,0.22998770496887827,0.0036719746792643324,0.2023258048274647,-0.26580273042666713,0.0393513437573174,0.1855568710658965
2023-08-04,0.39938790916096323,0.0799933317833133,-0.21273091759656335,0.10593655232104325,0.2111382602827648,0.24406358898772929,-0.001468789871705733,0.1936354647532058,-0.25301144337635173,0.032864185999501465,0.1854344720744282
2023-08-07,0.3880048029544142,0.07442383128224649,-0.20550932718333137,0.09325993899154655,0.20697669457284365,0.25556909418574664,-0.0074663485145041435,0.18567951961479975,-0.239240910032059,0.02270505215235576,0.18176250233038013
2023-08-08,0.3760097017905238,0.06359079379051565,-0.19461574164472714,0.07929812253734674,0.20257033087998594,0.25556909418574664,-0.018237474240346184,0.17429639810908032,-0.22791847532325823,0.017319487221338758,0.17686654267164936
2023-08-09,0.36487139356691123,0.05086036496344311,-0.18317139200727658,0.06466291843980809,0.20024475004208883,0.25532429620281005,-0.028641402498261796,0.162423679979459,-0.21445390374132567,0.009608337433746238,0.17331697191906956
2023-08-10,0.3657281199612086,0.05297929690495695,-0.17933158050743117,0.06487320001772728,0.1882415109126503,0.2463794375608276,-0.025135775853981,0.1591113048556401,-0.20687322253962206,-0.0008603936359126361,0.16230683327466844
2023-08-11,0.3668745798782488,0.05555356511230999,-0.17572330908173486,0.06607905152856426,0.1768947755604073,0.24009793333216486,-0.021108895517255404,0.15590956162744782,-0.1985074416221846,-0.012529553905015115,0.1517122673857227
2023-08-14,0.36533955997592016,0.055365894894209525,-0.1722247595026923,0.06717810501493165,0.16422611477621119,0.2308092960784576,-0.012833088504536731,0.1525711633317145,-0.1899019198994769,-0.024178291974346296,0.14004786458265797
2023-08-15,0.36357836589904846,0.052192556031906576,-0.16796468293778044,0.06686089655619196,0.1510861794571928,0.22121109209890716,-0.006601466012857253,0.1483461513455281,-0.18148706275405674,-0.03618352100294254,0.12816791315865736
2023-08-16,0.36768870713737273,0.0589190655952828,-0.16796468293778044,0.06966494161213663,0.1518335142277972,0.22245665004991452,-0.004608570612749403,0.14984082289560896,-0.18497487418891204,-0.034190624837548124,0.12978713849496692
2023-08-17,0.36993071144918593,0.06651750745852224,-0.16796471518798306,0.07296758174476772,0.1518335142277972,0.22357765220582115,-0.0022420073251213308,0.15121093848318312,-0.18858721434235634,-0.03182406064114224,0.1306590290606721
